,WD17CD,comparison_Number_of_charities
1492,E05004884,2
1493,E05004885,4
1494,E05004886,18
1495,E05004887,13
1496,E05004888,35
1497,E05004889,5
1498,E05004890,6
1499,E05004891,3
1500,E05004892,9
1501,E05004893,12
1502,E05004894,12
1503,E05004895,12
1504,E05004897,29
1505,E05004898,11
1506,E05004899,20
1507,E05004900,29
1508,E05004901,22
1509,E05004934,7
1510,E05004939,6
1511,E05004943,6
1512,E05004944,5
1513,E05004945,10
1514,E05004946,8
1515,E05004947,26
1516,E05004948,15
1517,E05004950,5
1518,E05004951,14
1519,E05004952,15
1520,E05004953,13
1521,E05004954,13
1522,E05004955,14
1523,E05004956,22
1524,E05004957,25
1525,E05004958,6
1526,E05004959,30
1527,E05004960,10
1528,E05004961,4
1529,E05004962,27
1530,E05004963,10
1531,E05004964,15
1532,E05004965,5
1533,E05004966,9
1534,E05004968,6
1535,E05004969,17
1536,E05004970,14
1537,E05004971,10
1538,E05004972,10
1539,E05004973,3
1540,E05004974,10
1541,E05004975,10
1542,E05004976,9
1543,E05004977,24
1544,E05004978,8
1545,E05004979,8
1546,E05004980,7
1547,E05004981,13
1548,E05004982,10
1549,E05004983,9
1550,E05004984,15
1551,E05004985,12
1552,E05004986,28
1553,E05004987,22
1554,E05004989,4
1555,E05004990,8
1556,E05004991,21
1557,E05004992,9
1558,E05004993,23
1559,E05004994,21
1560,E05004995,20
1561,E05004996,30
1562,E05004997,10
1563,E05004999,32
1564,E05005000,17
1565,E05005001,9
1566,E05005002,8
1567,E05005003,11
1568,E05005004,6
1569,E05005006,24
1570,E05005007,13
1571,E05005012,17
1572,E05005017,8
1573,E05005018,19
1574,E05005021,18
1575,E05005025,19
1576,E05005026,17
1577,E05005027,23
1578,E05005028,9
1579,E05005029,36
1580,E05005081,5
1581,E05005084,15
1582,E05005085,12
1583,E05005086,13
1584,E05005090,13
1585,E05005092,2
1586,E05005094,3
1587,E05005095,3
1588,E05005096,9
1589,E05005097,7
1590,E05005099,5
1591,E05005100,13
1592,E05005101,21
1593,E05005130,52
1594,E05005131,33
1595,E05005133,11
1596,E05005135,17
1597,E05005136,26
1598,E05005137,24
1599,E05005138,15
1600,E05005139,10
1601,E05005141,1
1602,E05005150,8
1603,E05005151,7
1604,E05005152,3
1605,E05005153,10
1606,E05005154,6
1607,E05005155,15
1608,E05005156,7
1609,E05005157,4
1610,E05005158,2
1611,E05005159,9
1612,E05005160,11
1613,E05005161,2
1614,E05005162,3
1615,E05005163,5
1616,E05005164,6
1617,E05005176,13
1618,E05005182,16
1619,E05005256,2
1620,E05005257,12
1621,E05005260,5
1622,E05005263,6
1623,E05005264,4
1624,E05005295,1
1625,E05005302,1
1626,E05005307,6
1627,E05005318,7
1628,E05005321,8
1629,E05005323,5
1630,E05005325,3
1631,E05005327,5
1632,E05005410,2
1633,E05005413,6
1634,E05005418,6
1635,E05005421,11
1636,E05005424,4
1637,E05005427,25
1638,E05005431,12
1639,E05005432,1
1640,E05005433,11
1641,E05005434,11
1642,E05005435,13
1643,E05005436,16
1644,E05005437,15
1645,E05005438,14
1646,E05005439,6
1647,E05005440,30
1648,E05005441,9
1649,E05005442,16
1650,E05005444,14
1651,E05005445,3
1652,E05005446,15
1653,E05005447,13
1654,E05005448,16
1655,E05005451,22
1656,E05005453,10
1657,E05005454,6
1658,E05005455,22
1659,E05005460,10
1660,E05005463,6
1661,E05005464,15
1662,E05005465,7
1663,E05005466,3
1664,E05005467,10
1665,E05005468,5
1666,E05005469,18
1667,E05005470,21
1668,E05005471,15
1669,E05005472,16
1670,E05005473,19
1671,E05005474,21
1672,E05005475,12
1673,E05005477,1
1674,E05005478,16
1675,E05005479,15
1676,E05005480,8
1677,E05005482,9
1678,E05005483,20
1679,E05005484,18
1680,E05005487,19
1681,E05005488,11
1682,E05005489,16
1683,E05005490,11
1684,E05005491,19
1685,E05005493,6
1686,E05005494,4
1687,E05005495,2
1688,E05005496,12
1689,E05005497,20
1690,E05005498,27
1691,E05005499,8
1692,E05005500,21
1693,E05005501,4
1694,E05005502,6
1695,E05005503,3
1696,E05005504,8
1697,E05005505,10
1698,E05005506,13
1699,E05005507,10
1700,E05005508,15
1701,E05005509,12
1702,E05005510,6
1703,E05005536,10
1704,E05005537,10
1705,E05005538,12
1706,E05005539,15
1707,E05005540,15
1708,E05005618,13
1709,E05005620,2
1710,E05005625,30
1711,E05005627,10
1712,E05005628,8
1713,E05005635,14
1714,E05005636,8
1715,E05005638,3
1716,E05005639,1
1717,E05005640,9
1718,E05005641,22
1719,E05005642,1
1720,E05005644,5
1721,E05005645,31
1722,E05005646,4
1723,E05005647,8
1724,E05005648,6
1725,E05005649,15
1726,E05005650,35
1727,E05005651,26
1728,E05005652,21
1729,E05005653,11
1730,E05005654,7
1731,E05005655,14
1732,E05005656,5
1733,E05005657,4
1734,E05005658,11
1735,E05005659,7
1736,E05005660,12
1737,E05005661,9
1738,E05005757,14
1739,E05005758,26
1740,E05005759,33
1741,E05005760,22
1742,E05005761,13
1743,E05005762,13
1744,E05005763,12
1745,E05005766,21
1746,E05005767,5
1747,E05005770,12
1748,E05005771,17
1749,E05005772,13
1750,E05005774,16
1751,E05005775,25
1752,E05005776,12
1753,E05005783,16
1754,E05005784,7
1755,E05005785,8
1756,E05005786,4
1757,E05005787,8
1758,E05005788,13
1759,E05005789,6
1760,E05005790,17
1761,E05005791,14
1762,E05005792,12
1763,E05005793,12
1764,E05005794,10
1765,E05005795,5
1766,E05005796,12
1767,E05005797,6
1768,E05005798,3
1769,E05005799,17
1770,E05005800,5
1771,E05005801,12
1772,E05005802,11
1773,E05005803,17
1774,E05005804,5
1775,E05005805,24
1776,E05005806,12
1777,E05005807,19
1778,E05005808,3
1779,E05005809,2
1780,E05005810,16
1781,E05005811,1
1782,E05005812,7
1783,E05005813,6
1784,E05005815,10
1785,E05005816,14
1786,E05005817,8
1787,E05005818,19
1788,E05005819,7
1789,E05005820,1
1790,E05005821,12
1791,E05005824,7
1792,E05005825,11
1793,E05005826,5
1794,E05005827,30
1795,E05005828,19
1796,E05005829,5
1797,E05005830,9
1798,E05005833,7
1799,E05005834,17
1800,E05005835,16
1801,E05005837,6
1802,E05005838,8
1803,E05005839,13
1804,E05005840,6
1805,E05005841,16
1806,E05005842,20
1807,E05005843,15
1808,E05005844,7
1809,E05005846,20
1810,E05005847,13
1811,E05005848,13
1812,E05005849,11
1813,E05005850,33
1814,E05005851,16
1815,E05005852,11
1816,E05005853,16
1817,E05005854,11
1818,E05005855,6
1819,E05005856,16
1820,E05005857,15
1821,E05005858,17
1822,E05005859,6
1823,E05005860,12
1824,E05005861,7
1825,E05005862,26
1826,E05005863,13
1827,E05005864,7
1828,E05005865,10
1829,E05005866,21
1830,E05005867,16
1831,E05005868,18
1832,E05005869,17
1833,E05005870,14
1834,E05005872,23
1835,E05005873,33
1836,E05005874,15
1837,E05005875,28
1838,E05005876,21
1839,E05005890,12
1840,E05005891,29
1841,E05005892,24
1842,E05005893,14
1843,E05005894,10
1844,E05005895,1
1845,E05005896,17
1846,E05005897,20
1847,E05005898,3
1848,E05005900,12
1849,E05005901,13
1850,E05005903,27
1851,E05005904,28
1852,E05005905,9
1853,E05005906,10
1854,E05005907,15
1855,E05005908,22
1856,E05005909,15
1857,E05005910,13
1858,E05005911,6
1859,E05005912,11
1860,E05005913,9
1861,E05005914,19
1862,E05005915,12
1863,E05005917,10
1864,E05005918,19
1865,E05005919,23
1866,E05005920,21
1867,E05005921,18
1868,E05005923,9
1869,E05005924,31
1870,E05005925,8
1871,E05005965,9
1872,E05005966,2
1873,E05005971,4
1874,E05005973,19
1875,E05005982,15
1876,E05005986,6
1877,E05005987,15
1878,E05005988,2
1879,E05005989,13
1880,E05005991,12
1881,E05005992,13
1882,E05005993,11
1883,E05005994,8
1884,E05005995,2
1885,E05005996,14
1886,E05005998,10
1887,E05005999,18
1888,E05006000,12
1889,E05006001,30
1890,E05006002,19
1891,E05006003,8
1892,E05006027,13
1893,E05006028,32
1894,E05006030,14
1895,E05006031,7
1896,E05006032,5
1897,E05006034,16
1898,E05006035,34
1899,E05006036,14
1900,E05006041,10
1901,E05006042,11
1902,E05006043,13
1903,E05006044,17
1904,E05006045,5
1905,E05006047,6
1906,E05006048,16
1907,E05006049,12
1908,E05006050,17
1909,E05006051,12
1910,E05006052,20
1911,E05006053,14
1912,E05006203,4
1913,E05006206,26
1914,E05006240,11
1915,E05006241,8
1916,E05006253,16
1917,E05006255,4
1918,E05006258,18
1919,E05006261,9
1920,E05006267,13
1921,E05006270,23
1922,E05006271,4
1923,E05006274,4
1924,E05006276,10
1925,E05006277,8
1926,E05006280,5
1927,E05006281,1
1928,E05006282,3
1929,E05006283,4
1930,E05006286,5
1931,E05006288,7
1932,E05006289,8
1933,E05006291,12
1934,E05006292,11
1935,E05006293,11
1936,E05006294,15
1937,E05006296,15
1938,E05006297,13
1939,E05006298,11
1940,E05006299,10
1941,E05006300,19
1942,E05006301,23
1943,E05006302,22
1944,E05006303,13
1945,E05006304,16
1946,E05006305,21
1947,E05006306,3
1948,E05006307,15
1949,E05006308,15
1950,E05006309,16
1951,E05006310,8
1952,E05006311,13
1953,E05006312,9
1954,E05006313,13
1955,E05006314,16
1956,E05006315,18
1957,E05006316,9
1958,E05006317,28
1959,E05006318,11
1960,E05006319,6
1961,E05006320,17
1962,E05006321,23
1963,E05006322,6
1964,E05006323,27
1965,E05006324,9
1966,E05006325,15
1967,E05006326,8
1968,E05006327,14
1969,E05006328,6
1970,E05006329,6
1971,E05006330,22
1972,E05006331,18
1973,E05006332,7
1974,E05006333,6
1975,E05006334,4
1976,E05006335,22
1977,E05006336,10
1978,E05006337,15
1979,E05006338,4
1980,E05006339,14
1981,E05006340,22
1982,E05006341,7
1983,E05006377,11
1984,E05006378,3
1985,E05006380,6
1986,E05006381,17
1987,E05006382,17
1988,E05006383,11
1989,E05006384,8
1990,E05006385,14
1991,E05006386,10
1992,E05006387,3
1993,E05006389,11
1994,E05006390,7
1995,E05006391,6
1996,E05006392,12
1997,E05006393,9
1998,E05006394,17
1999,E05006395,3
2000,E05006555,1
2001,E05006627,9
2002,E05006629,26
2003,E05006632,4
2004,E05006634,8
2005,E05006638,5
2006,E05006639,26
2007,E05006640,21
2008,E05006642,1
2009,E05006644,9
2010,E05006645,22
2011,E05006646,28
2012,E05006648,9
2013,E05006649,25
2014,E05006650,10
2015,E05006651,9
2016,E05006652,6
2017,E05006653,26
2018,E05006760,8
2019,E05006762,11
2020,E05006763,6
2021,E05006766,6
2022,E05006769,11
2023,E05006770,19
2024,E05006771,8
2025,E05006772,18
2026,E05006773,3
2027,E05006774,8
2028,E05006779,3
2029,E05006780,6
2030,E05006781,6
2031,E05006782,7
2032,E05006786,14
2033,E05006787,16
2034,E05006788,4
2035,E05006819,14
2036,E05006820,2
2037,E05006821,20
2038,E05006822,12
2039,E05006823,12
2040,E05006824,20
2041,E05006825,13
2042,E05006826,1
2043,E05006827,9
2044,E05006828,5
2045,E05006829,12
2046,E05006830,5
2047,E05006831,35
2048,E05006832,30
2049,E05006833,9
2050,E05006834,13
2051,E05006835,13
2052,E05006836,16
2053,E05006837,7
2054,E05006838,13
2055,E05006839,8
2056,E05006840,18
2057,E05006842,16
2058,E05006843,15
2059,E05006844,18
2060,E05006845,7
2061,E05006846,21
2062,E05006847,9
2063,E05006848,5
2064,E05006849,20
2065,E05006850,30
2066,E05006852,13
2067,E05006853,25
2068,E05006854,2
2069,E05006855,11
2070,E05006856,19
2071,E05006857,13
2072,E05006860,2
2073,E05006861,6
2074,E05006864,9
2075,E05006879,14
2076,E05006880,9
2077,E05006881,13
2078,E05006883,9
2079,E05006902,6
2080,E05006903,3
2081,E05006904,3
2082,E05006905,11
2083,E05006906,5
2084,E05006907,18
2085,E05006908,4
2086,E05006909,2
2087,E05006910,7
2088,E05006911,6
2089,E05006912,5
2090,E05006913,2
2091,E05006914,10
2092,E05006915,10
2093,E05006916,8
2094,E05006917,14
2095,E05006918,4
2096,E05006919,25
2097,E05006920,15
2098,E05006921,14
2099,E05006922,6
2100,E05006923,12
2101,E05006924,12
2102,E05006925,6
2103,E05006926,4
2104,E05006927,8
2105,E05006928,19
2106,E05006929,11
2107,E05006930,9
2108,E05006931,9
2109,E05006932,16
2110,E05006933,18
2111,E05006934,22
2112,E05006936,13
2113,E05006937,15
2114,E05006989,14
2115,E05006990,1
2116,E05006994,6
2117,E05006995,7
2118,E05006999,6
2119,E05007002,14
2120,E05007003,7
2121,E05007004,6
2122,E05007009,23
2123,E05007039,2
2124,E05007047,4
2125,E05007049,2
2126,E05007050,5
2127,E05007051,13
2128,E05007052,16
2129,E05007053,10
2130,E05007054,13
2131,E05007055,8
2132,E05007056,8
2133,E05007057,9
2134,E05007058,6
2135,E05007059,11
2136,E05007060,13
2137,E05007061,14
2138,E05007062,19
2139,E05007063,18
2140,E05007064,11
2141,E05007076,6
2142,E05007078,16
2143,E05007081,10
2144,E05007082,21
2145,E05007084,10
2146,E05007085,13
2147,E05007086,5
2148,E05007090,8
2149,E05007091,3
2150,E05007092,22
2151,E05007096,18
2152,E05007099,4
2153,E05007100,9
2154,E05007101,28
2155,E05007102,21
2156,E05007104,12
2157,E05007105,4
2158,E05007106,10
2159,E05007108,5
2160,E05007109,9
2161,E05007110,13
2162,E05007111,12
2163,E05007112,8
2164,E05007113,3
2165,E05007133,15
2166,E05007134,21
2167,E05007138,14
2168,E05007139,18
2169,E05007140,12
2170,E05007141,15
2171,E05007142,20
2172,E05007143,17
2173,E05007144,10
2174,E05007145,15
2175,E05007146,16
2176,E05007148,16
2177,E05007149,14
2178,E05007150,18
2179,E05007151,37
2180,E05007152,10
2181,E05007153,18
2182,E05007154,19
2183,E05007155,8
2184,E05007156,4
2185,E05007157,22
2186,E05007158,13
2187,E05007159,26
2188,E05007160,19
2189,E05007161,13
2190,E05007162,20
2191,E05007163,19
2192,E05007164,15
2193,E05007165,17
2194,E05007166,15
2195,E05007167,17
2196,E05007168,8
2197,E05007169,9
2198,E05007170,12
2199,E05007171,10
2200,E05007172,15
2201,E05007177,12
2202,E05007178,10
2203,E05007179,10
2204,E05007181,6
2205,E05007182,12
2206,E05007183,4
2207,E05007184,11
2208,E05007185,18
2209,E05007186,11
2210,E05007187,11
2211,E05007188,5
2212,E05007189,12
2213,E05007190,5
2214,E05007191,7
2215,E05007192,8
2216,E05007228,14
2217,E05007229,12
2218,E05007230,11
2219,E05007231,20
2220,E05007232,9
2221,E05007233,13
2222,E05007234,12
2223,E05007235,20
2224,E05007236,13
2225,E05007237,14
2226,E05007238,11
2227,E05007239,9
2228,E05007240,9
2229,E05007241,8
2230,E05007242,7
2231,E05007243,12
2232,E05007244,7
2233,E05007245,38
2234,E05007246,37
2235,E05007247,15
2236,E05007248,2
2237,E05007249,20
2238,E05007250,18
2239,E05007273,11
2240,E05007274,21
2241,E05007275,8
2242,E05007277,12
2243,E05007278,6
2244,E05007279,15
2245,E05007280,3
2246,E05007281,20
2247,E05007282,9
2248,E05007283,28
2249,E05007284,14
2250,E05007285,12
2251,E05007286,18
2252,E05007287,10
2253,E05007288,16
2254,E05007291,26
2255,E05007292,9
2256,E05007295,21
2257,E05007299,10
2258,E05007300,14
2259,E05007301,16
2260,E05007308,16
2261,E05007309,19
2262,E05007310,23
2263,E05007312,24
2264,E05007313,25
2265,E05007314,7
2266,E05007320,10
2267,E05007321,13
2268,E05007323,31
2269,E05007324,22
2270,E05007335,13
2271,E05007338,4
2272,E05007339,2
2273,E05007346,31
2274,E05007347,17
2275,E05007348,13
2276,E05007349,8
2277,E05007350,13
2278,E05007351,13
2279,E05007352,12
2280,E05007353,9
2281,E05007354,17
2282,E05007355,17
2283,E05007356,8
2284,E05007357,20
2285,E05007358,10
2286,E05007359,18
2287,E05007360,22
2288,E05007361,14
2289,E05007362,14
2290,E05007363,11
2291,E05007364,12
2292,E05007365,17
2293,E05007366,17
2294,E05007367,11
2295,E05007368,23
2296,E05007369,28
2297,E05007370,9
2298,E05007371,11
2299,E05007372,9
2300,E05007373,9
2301,E05007374,22
2302,E05007375,22
2303,E05007376,9
2304,E05007377,19
2305,E05007378,7
2306,E05007379,15
2307,E05007380,19
2308,E05007381,18
2309,E05007382,18
2310,E05007383,5
2311,E05007384,18
2312,E05007385,14
2313,E05007386,13
2314,E05007387,15
2315,E05007388,8
2316,E05007389,13
2317,E05007390,21
2318,E05007392,6
2319,E05007393,7
2320,E05007396,1
2321,E05007402,12
2322,E05007410,1
2323,E05007411,4
2324,E05007414,2
2325,E05007419,12
2326,E05007420,1
2327,E05007423,2
2328,E05007424,9
2329,E05007426,1
2330,E05007427,15
2331,E05007428,27
2332,E05007434,26
2333,E05007435,42
2334,E05007436,16
2335,E05007457,1
2336,E05007460,1
2337,E05007467,5
2338,E05007474,17
2339,E05007475,3
2340,E05007476,2
2341,E05007477,1
2342,E05007478,6
2343,E05007479,9
2344,E05007480,3
2345,E05007482,14
2346,E05007483,6
2347,E05007484,4
2348,E05007485,6
2349,E05007486,17
2350,E05007487,7
2351,E05007488,14
2352,E05007489,11
2353,E05007490,10
2354,E05007562,6
2355,E05007564,4
2356,E05007565,7
2357,E05007566,7
2358,E05007567,12
2359,E05007568,10
2360,E05007569,4
2361,E05007570,5
2362,E05007571,15
2363,E05007572,12
2364,E05007573,1
2365,E05007574,15
2366,E05007575,8
2367,E05007602,22
2368,E05007603,17
2369,E05007604,28
2370,E05007605,12
2371,E05007606,29
2372,E05007607,50
2373,E05007608,11
2374,E05007609,8
2375,E05007610,9
2376,E05007611,12
2377,E05007612,30
2378,E05007613,15
2379,E05007614,24
2380,E05007615,24
2381,E05007616,10
2382,E05007617,20
2383,E05007618,7
2384,E05007619,39
2385,E05007620,28
2386,E05007621,18
2387,E05007622,14
2388,E05007623,18
2389,E05007624,11
2390,E05007625,15
2391,E05007626,16
2392,E05007627,7
2393,E05007628,23
2394,E05007629,11
2395,E05007630,10
2396,E05007631,6
2397,E05007632,5
2398,E05007633,3
2399,E05007634,10
2400,E05007635,14
2401,E05007636,13
2402,E05007637,10
2403,E05007638,10
2404,E05007639,8
2405,E05007640,7
2406,E05007641,14
2407,E05007642,14
2408,E05007643,8
2409,E05007644,5
2410,E05007645,10
2411,E05007647,18
2412,E05007648,6
2413,E05007649,30
2414,E05007650,54
2415,E05007651,29
2416,E05007652,19
2417,E05007653,12
2418,E05007655,10
2419,E05007656,14
2420,E05007657,23
2421,E05007658,27
2422,E05007659,13
2423,E05007660,25
2424,E05007661,18
2425,E05007662,9
2426,E05007663,14
2427,E05007664,27
2428,E05007666,34
2429,E05007667,15
2430,E05007668,29
2431,E05007669,10
2432,E05007670,14
2433,E05007671,6
2434,E05007672,14
2435,E05007673,13
2436,E05007674,14
2437,E05007675,10
2438,E05007676,11
2439,E05007677,19
2440,E05007678,21
2441,E05007679,31
2442,E05007680,10
2443,E05007681,19
2444,E05007682,13
2445,E05007683,10
2446,E05007684,19
2447,E05007685,1
2448,E05007686,13
2449,E05007687,10
2450,E05007688,12
2451,E05007689,20
2452,E05007690,10
2453,E05007691,40
2454,E05007692,2
2455,E05007693,32
2456,E05007694,7
2457,E05007695,16
2458,E05007696,20
2459,E05007697,9
2460,E05007698,24
2461,E05007699,13
2462,E05007700,15
2463,E05007701,27
2464,E05007702,2
2465,E05007703,17
2466,E05007704,14
2467,E05007705,7
2468,E05007706,21
2469,E05007846,5
2470,E05007847,4
2471,E05007849,15
2472,E05007850,12
2473,E05007853,9
2474,E05007854,15
2475,E05007855,13
2476,E05007857,5
2477,E05007858,8
2478,E05007859,3
2479,E05007860,26
2480,E05007861,1
2481,E05007862,5
2482,E05007863,26
2483,E05007865,18
2484,E05007866,20
2485,E05007895,5
2486,E05007896,12
2487,E05007898,13
2488,E05007899,11
2489,E05007900,32
2490,E05007902,6
2491,E05007908,12
2492,E05007909,13
2493,E05007910,9
2494,E05007911,8
2495,E05007912,22
2496,E05007913,7
2497,E05007914,14
2498,E05007915,7
2499,E05007916,7
2500,E05007917,7
2501,E05007918,8
2502,E05007921,4
2503,E05007922,26
2504,E05007923,15
2505,E05007924,22
2506,E05007925,18
2507,E05007926,6
2508,E05008137,1
2509,E05008138,11
2510,E05008141,1
2511,E05008145,22
2512,E05008146,26
2513,E05008147,11
2514,E05008148,19
2515,E05008152,6
2516,E05008154,13
2517,E05008155,36
2518,E05008158,1
2519,E05008159,10
2520,E05008161,2
2521,E05008163,14
2522,E05008167,1
2523,E05008174,30
2524,E05008179,15
2525,E05008183,10
2526,E05008188,15
2527,E05008189,11
2528,E05008192,12
2529,E05008194,5
2530,E05008195,25
2531,E05008196,14
2532,E05008198,10
2533,E05008327,1
2534,E05008332,31
2535,E05008333,27
2536,E05008334,25
2537,E05008335,33
2538,E05008336,21
2539,E05008339,19
2540,E05008340,8
2541,E05008341,10
2542,E05008342,5
2543,E05008343,26
2544,E05008344,19
2545,E05008345,7
2546,E05008346,16
2547,E05008347,8
2548,E05008348,21
2549,E05008349,13
2550,E05008350,6
2551,E05008351,11
2552,E05008352,6
2553,E05008353,11
2554,E05008354,15
2555,E05008355,34
2556,E05008357,18
2557,E05008358,9
2558,E05008359,72
2559,E05008362,19
2560,E05008364,9
2561,E05008365,20
2562,E05008366,33
2563,E05008368,15
2564,E05008369,6
2565,E05008370,24
2566,E05008373,13
2567,E05008374,6
2568,E05008375,8
2569,E05008376,14
2570,E05008377,17
2571,E05008378,25
2572,E05008379,15
2573,E05008382,4
2574,E05008385,9
2575,E05008394,22
2576,E05008395,20
2577,E05008396,35
2578,E05008397,2
2579,E05008398,28
2580,E05008400,4
2581,E05008402,14
2582,E05008403,27
2583,E05008404,6
2584,E05008405,14
2585,E05008406,12
2586,E05008407,6
2587,E05008408,14
2588,E05008409,32
2589,E05008410,12
2590,E05008411,27
2591,E05008412,14
2592,E05008413,21
2593,E05008414,41
2594,E05008416,22
2595,E05008417,7
2596,E05008418,10
2597,E05008420,21
2598,E05008479,15
2599,E05008480,7
2600,E05008481,25
2601,E05008482,10
2602,E05008483,23
2603,E05008484,18
2604,E05008485,9
2605,E05008486,13
2606,E05008487,9
2607,E05008488,16
2608,E05008489,9
2609,E05008490,5
2610,E05008491,9
2611,E05008492,9
2612,E05008493,8
2613,E05008494,9
2614,E05008495,2
2615,E05008496,11
2616,E05008497,12
2617,E05008498,6
2618,E05008499,14
2619,E05008500,16
2620,E05008501,8
2621,E05008502,11
2622,E05008503,4
2623,E05008504,15
2624,E05008505,10
2625,E05008506,2
2626,E05008507,1
2627,E05008508,8
2628,E05008509,1
2629,E05008510,6
2630,E05008511,12
2631,E05008512,9
2632,E05008513,17
2633,E05008514,7
2634,E05008515,12
2635,E05008516,6
2636,E05008517,6
2637,E05008520,13
2638,E05008521,41
2639,E05008522,5
2640,E05008523,11
2641,E05008524,10
2642,E05008525,13
2643,E05008526,16
2644,E05008527,25
2645,E05008528,29
2646,E05008529,23
2647,E05008531,25
2648,E05008533,26
2649,E05008535,30
2650,E05008542,6
2651,E05008543,19
2652,E05008544,28
2653,E05008546,13
2654,E05008547,2
2655,E05008548,12
2656,E05008549,5
2657,E05008550,24
2658,E05008551,8
2659,E05008553,29
2660,E05008554,6
2661,E05008555,16
2662,E05008556,10
2663,E05008557,9
2664,E05008563,6
2665,E05008567,12
2666,E05008568,9
2667,E05008569,10
2668,E05008571,21
2669,E05008572,11
2670,E05008573,5
2671,E05008574,5
2672,E05008575,39
2673,E05008576,26
2674,E05008577,13
2675,E05008578,25
2676,E05008579,8
2677,E05008580,10
2678,E05008581,12
2679,E05008582,17
2680,E05008584,7
2681,E05008599,18
2682,E05008600,8
2683,E05008612,1
2684,E05008613,28
2685,E05008614,14
2686,E05008615,12
2687,E05008617,19
2688,E05008618,29
2689,E05008619,38
2690,E05008626,1
2691,E05008627,13
2692,E05008628,22
2693,E05008630,2
2694,E05008631,19
2695,E05008632,51
2696,E05008634,26
2697,E05008635,16
2698,E05008636,3
2699,E05008637,14
2700,E05008638,26
2701,E05008639,9
2702,E05008640,19
2703,E05008641,12
2704,E05008644,1
2705,E05008645,25
2706,E05008646,25
2707,E05008647,22
2708,E05008648,6
2709,E05008649,6
2710,E05008650,9
2711,E05008651,15
2712,E05008653,21
2713,E05008660,5
2714,E05008668,2
2715,E05008670,6
2716,E05008674,3
2717,E05008682,11
2718,E05008683,22
2719,E05008684,20
2720,E05008686,11
2721,E05008687,1
2722,E05008689,15
2723,E05008690,1
2724,E05008691,10
2725,E05008693,6
2726,E05008694,1
2727,E05008695,8
2728,E05008701,11
2729,E05008702,12
2730,E05008706,1
2731,E05008751,27
2732,E05008752,25
2733,E05008753,43
2734,E05008754,12
2735,E05008755,12
2736,E05008756,20
2737,E05008757,7
2738,E05008758,7
2739,E05008759,16
2740,E05008760,27
2741,E05008761,53
2742,E05008762,22
2743,E05008763,16
2744,E05008764,12
2745,E05008765,23
2746,E05008766,3
2747,E05008767,9
2748,E05008768,12
2749,E05008769,29
2750,E05008770,18
2751,E05008771,21
2752,E05008772,15
2753,E05008773,33
2754,E05008774,30
2755,E05008775,9
2756,E05008776,11
2757,E05008777,24
2758,E05008778,37
2759,E05008779,43
2760,E05008780,35
2761,E05008781,11
2762,E05008782,9
2763,E05008783,20
2764,E05008785,38
2765,E05008792,34
2766,E05008794,5
2767,E05008799,40
2768,E05008801,41
2769,E05008802,25
2770,E05008803,32
2771,E05008804,22
2772,E05008805,6
2773,E05008807,1
2774,E05008808,22
2775,E05008809,29
2776,E05008810,7
2777,E05008811,20
2778,E05008812,2
2779,E05008813,14
2780,E05008814,13
2781,E05008815,16
2782,E05008816,5
2783,E05008817,11
2784,E05008818,45
2785,E05008819,19
2786,E05008820,7
2787,E05008821,11
2788,E05008822,12
2789,E05008823,14
2790,E05008857,2
2791,E05008858,17
2792,E05008859,2
2793,E05008860,4
2794,E05008861,3
2795,E05008862,5
2796,E05008863,1
2797,E05008864,6
2798,E05008865,4
2799,E05008866,7
2800,E05008867,2
2801,E05008868,2
2802,E05008869,2
2803,E05008870,7
2804,E05008871,2
2805,E05008872,3
2806,E05008873,3
2807,E05008874,3
2808,E05008875,4
2809,E05008876,6
2810,E05008877,3
2811,E05008878,6
2812,E05008879,3
2813,E05008880,10
2814,E05008881,3
2815,E05008882,2
2816,E05008883,5
2817,E05008884,8
2818,E05008885,7
2819,E05008886,4
2820,E05008887,3
2821,E05008888,2
2822,E05008889,3
2823,E05008890,1
2824,E05008891,5
2825,E05008892,1
2826,E05008893,25
2827,E05008905,21
2828,E05008910,6
2829,E05008914,22
2830,E05008916,9
2831,E05008917,2
2832,E05008918,8
2833,E05008920,23
2834,E05008921,12
2835,E05008922,16
2836,E05008923,14
2837,E05008924,12
2838,E05008925,9
2839,E05008926,13
2840,E05008927,19
2841,E05008929,9
2842,E05008931,1
2843,E05008934,6
2844,E05008937,8
2845,E05008938,27
2846,E05008939,15
2847,E05008940,12
2848,E05008942,20
2849,E05008943,6
2850,E05008944,8
2851,E05008945,5
2852,E05008946,13
2853,E05008947,10
2854,E05008948,3
2855,E05008949,5
2856,E05008950,12
2857,E05008951,8
2858,E05008952,15
2859,E05008958,1
2860,E05008965,8
2861,E05008967,2
2862,E05008968,7
2863,E05008974,21
2864,E05008975,21
2865,E05008976,11
2866,E05008977,8
2867,E05008979,5
2868,E05008980,15
2869,E05008981,13
2870,E05008982,10
2871,E05008983,9
2872,E05008984,19
2873,E05008985,24
2874,E05008986,27
2875,E05008988,5
2876,E05008989,10
2877,E05008990,8
2878,E05008991,11
2879,E05008992,21
2880,E05008993,7
2881,E05008994,23
2882,E05008995,9
2883,E05008996,6
2884,E05008997,13
2885,E05008998,10
2886,E05008999,15
2887,E05009000,8
2888,E05009001,14
2889,E05009002,39
