,WD17CD,comparison_Number_of_charities
353,E05001341,28
354,E05001342,60
355,E05001343,41
356,E05001348,12
357,E05001349,43
358,E05001350,5
359,E05001352,4
360,E05001353,25
361,E05001354,64
362,E05001355,35
363,E05001356,21
364,E05001357,14
365,E05001360,17
366,E05001361,3
367,E05001362,36
368,E05001363,25
369,E05001366,33
370,E05001368,9
371,E05001369,32
372,E05001370,10
373,E05001372,10
374,E05001385,19
375,E05001390,21
376,E05001391,30
377,E05001392,15
378,E05001393,29
379,E05001398,24
380,E05001399,41
381,E05001400,21
382,E05001403,22
383,E05001408,25
384,E05001409,46
385,E05001411,76
386,E05001412,56
387,E05001413,1
388,E05001414,24
389,E05001415,18
390,E05001416,12
391,E05001418,31
392,E05001420,24
393,E05001421,13
394,E05001422,21
395,E05001423,28
396,E05001425,44
397,E05001426,59
398,E05001428,57
399,E05001430,14
400,E05001431,17
401,E05001432,1
402,E05001433,18
403,E05001434,24
404,E05001435,20
405,E05001436,26
406,E05001437,42
407,E05001438,19
408,E05001439,26
409,E05001441,25
410,E05001442,32
411,E05001443,64
412,E05001445,7
413,E05001446,3
414,E05001447,7
415,E05001452,6
416,E05001505,8
417,E05001506,7
418,E05001507,7
419,E05001510,10
420,E05001511,15
421,E05001512,7
422,E05001513,7
423,E05001514,9
424,E05001515,2
425,E05001516,4
426,E05001519,17
427,E05001520,17
428,E05001521,10
429,E05001524,8
430,E05001525,10
431,E05001526,7
432,E05001527,4
433,E05001528,2
434,E05001529,7
435,E05001530,2
436,E05001531,8
437,E05001532,5
438,E05001533,22
439,E05001534,9
440,E05001535,14
441,E05001536,2
442,E05001537,8
443,E05001538,10
444,E05001539,10
445,E05001540,7
446,E05001541,8
447,E05001542,5
448,E05001543,8
449,E05001544,3
450,E05001545,12
451,E05001546,12
452,E05001547,3
453,E05001548,1
454,E05001549,19
455,E05001550,2
456,E05001551,7
457,E05001552,24
458,E05001590,1
459,E05001675,2
460,E05001687,55
461,E05001688,15
462,E05001689,16
463,E05001690,18
464,E05001691,22
465,E05001692,16
466,E05001693,49
467,E05001694,37
468,E05001695,51
469,E05001696,9
470,E05001697,14
471,E05001698,18
472,E05001699,16
473,E05001700,48
474,E05001701,47
475,E05001702,29
476,E05001703,39
477,E05001704,48
478,E05001705,30
479,E05001706,32
480,E05001707,63
481,E05001708,49
482,E05001709,19
483,E05001710,11
484,E05001711,22
485,E05001712,56
486,E05001713,13
487,E05001714,8
488,E05001715,4
489,E05001716,10
490,E05001717,8
491,E05001718,23
492,E05001719,9
493,E05001720,24
494,E05001721,16
495,E05001722,6
496,E05001723,10
497,E05001724,12
498,E05001725,4
499,E05001726,19
500,E05001727,10
501,E05001728,7
502,E05001730,23
503,E05001731,2
504,E05001732,17
505,E05001733,13
506,E05001734,40
507,E05001735,7
508,E05001736,10
509,E05001737,3
510,E05001738,27
511,E05001739,6
512,E05001740,25
513,E05001741,10
514,E05001742,9
515,E05001743,31
516,E05001744,10
517,E05001767,14
518,E05001768,30
519,E05001769,15
520,E05001770,30
521,E05001771,18
522,E05001772,10
523,E05001773,11
524,E05001774,16
525,E05001775,24
526,E05001776,10
527,E05001777,32
528,E05001778,11
529,E05001780,20
530,E05001781,14
531,E05001782,7
532,E05001783,11
533,E05001806,13
534,E05001807,6
535,E05001808,6
536,E05001809,8
537,E05001810,5
538,E05001811,5
539,E05001812,13
540,E05001813,6
541,E05001814,19
542,E05001815,18
543,E05001816,5
544,E05001817,15
545,E05001818,8
546,E05001820,24
547,E05001821,5
548,E05001831,15
549,E05001832,13
550,E05001940,18
551,E05001941,15
552,E05001942,16
553,E05001944,6
554,E05001945,7
555,E05001946,16
556,E05001947,13
557,E05001948,9
558,E05001953,17
559,E05001959,10
560,E05001961,16
561,E05001963,16
562,E05002043,22
563,E05002044,14
564,E05002045,34
565,E05002046,8
566,E05002047,7
567,E05002048,11
568,E05002049,20
569,E05002050,13
570,E05002051,11
571,E05002052,1
572,E05002053,33
573,E05002054,14
574,E05002055,9
575,E05002056,22
576,E05002057,13
577,E05002058,11
578,E05002059,16
579,E05002060,16
580,E05002061,12
581,E05002062,12
582,E05002063,8
583,E05002064,15
584,E05002065,9
585,E05002066,14
586,E05002067,25
587,E05002068,12
588,E05002069,13
589,E05002070,20
590,E05002071,24
591,E05002072,21
592,E05002073,8
593,E05002074,16
594,E05002075,23
595,E05002076,16
596,E05002077,19
597,E05002098,1
598,E05002118,9
599,E05002119,9
600,E05002123,8
601,E05002127,14
602,E05002229,9
603,E05002230,16
604,E05002231,18
605,E05002232,15
606,E05002233,9
607,E05002234,9
608,E05002235,15
609,E05002236,9
610,E05002237,12
611,E05002238,10
612,E05002239,13
613,E05002240,22
614,E05002241,9
615,E05002242,9
616,E05002243,15
617,E05002244,5
618,E05002245,11
619,E05002246,11
620,E05002247,10
621,E05002248,14
622,E05002255,1
623,E05002272,21
624,E05002273,6
625,E05002274,9
626,E05002275,9
627,E05002276,12
628,E05002277,14
629,E05002278,3
630,E05002279,8
631,E05002280,10
632,E05002281,10
633,E05002282,16
634,E05002283,5
635,E05002284,8
636,E05002285,10
637,E05002286,10
638,E05002287,14
639,E05002288,10
640,E05002289,1
641,E05002291,11
642,E05002292,19
643,E05002293,3
644,E05002294,11
645,E05002295,13
646,E05002296,8
647,E05002297,15
648,E05002298,16
649,E05002299,24
650,E05002300,18
651,E05002301,6
652,E05002302,18
653,E05002303,39
654,E05002304,25
655,E05002306,9
656,E05002308,6
657,E05002309,26
658,E05002310,30
659,E05002312,14
660,E05002313,7
661,E05002314,14
662,E05002315,8
663,E05002317,17
664,E05002318,3
665,E05002320,14
666,E05002324,11
667,E05002326,2
668,E05002327,12
669,E05002331,16
670,E05002333,17
671,E05002353,1
672,E05002363,15
673,E05002364,9
674,E05002373,7
675,E05002375,11
676,E05002377,32
677,E05002378,19
678,E05002379,10
679,E05002380,15
680,E05002383,23
681,E05002386,17
682,E05002387,35
683,E05002393,20
684,E05002394,24
685,E05002395,17
686,E05002396,24
687,E05002428,14
688,E05002435,19
689,E05002455,25
690,E05002456,37
691,E05002457,40
692,E05002458,15
693,E05002459,22
694,E05002460,18
695,E05002461,21
696,E05002462,13
697,E05002463,13
698,E05002464,16
699,E05002465,25
700,E05002466,11
701,E05002467,35
702,E05002468,17
703,E05002469,17
704,E05002470,23
705,E05002636,11
706,E05002641,9
707,E05002643,23
708,E05002645,11
709,E05002647,3
710,E05002649,4
711,E05002650,32
712,E05002674,29
713,E05002675,25
714,E05002676,4
715,E05002677,1
716,E05002678,9
717,E05002679,28
718,E05002680,8
719,E05002681,16
720,E05002682,18
721,E05002683,37
722,E05002684,1
723,E05002685,1
724,E05002686,9
725,E05002687,15
726,E05002688,21
727,E05002689,18
728,E05002692,4
729,E05002693,9
730,E05002694,19
731,E05002695,10
732,E05002696,18
733,E05002697,19
734,E05002698,8
735,E05002699,45
736,E05002700,10
737,E05002701,31
738,E05002710,1
739,E05002716,11
740,E05002717,21
741,E05002734,17
742,E05002763,23
743,E05002769,21
744,E05002771,25
745,E05002772,4
746,E05002779,4
747,E05002781,10
748,E05002784,15
749,E05002791,28
750,E05002792,14
751,E05002793,13
752,E05002795,32
753,E05002796,14
754,E05002797,14
755,E05002798,45
756,E05002799,15
757,E05002800,7
758,E05002801,19
759,E05002802,18
760,E05002804,7
761,E05002805,17
762,E05002806,27
763,E05002807,24
764,E05002808,25
765,E05002809,10
766,E05002812,17
767,E05002813,9
768,E05002814,12
769,E05002815,25
770,E05002816,16
771,E05002818,15
772,E05002820,57
773,E05002821,14
774,E05002822,23
775,E05002823,16
776,E05002824,22
777,E05003114,18
778,E05003116,11
779,E05003117,22
780,E05003118,10
781,E05003119,2
782,E05003120,23
783,E05003121,11
784,E05003122,12
785,E05003123,18
786,E05003124,5
787,E05003125,5
788,E05003126,2
789,E05003127,5
790,E05003128,2
791,E05003129,32
792,E05003131,2
793,E05003132,2
794,E05003133,9
795,E05003134,8
796,E05003135,10
797,E05003136,14
798,E05003139,3
799,E05003145,3
800,E05003146,4
801,E05003147,14
802,E05003148,20
803,E05003149,10
804,E05003150,11
805,E05003151,11
806,E05003152,3
807,E05003153,4
808,E05003154,2
809,E05003155,5
810,E05003156,3
811,E05003157,3
812,E05003180,2
813,E05003181,7
814,E05003182,13
815,E05003183,9
816,E05003184,8
817,E05003185,2
818,E05003186,9
819,E05003187,6
820,E05003188,6
821,E05003189,6
822,E05003190,2
823,E05003191,6
824,E05003192,20
825,E05003193,4
826,E05003194,8
827,E05003195,6
828,E05003196,4
829,E05003197,5
830,E05003198,14
831,E05003199,6
832,E05003200,5
833,E05003201,9
834,E05003202,8
835,E05003203,5
836,E05003204,17
837,E05003206,5
838,E05003207,3
839,E05003208,22
840,E05003209,12
841,E05003210,16
842,E05003211,12
843,E05003212,12
844,E05003213,15
845,E05003214,18
846,E05003215,13
