,wd11cd,comparison_Number_of_charities
353,E05001175,10
354,E05001176,11
355,E05001177,7
356,E05001241,8
357,E05001245,1
358,E05001255,3
359,E05001257,1
360,E05001263,1
361,E05001265,3
362,E05001281,10
363,E05001303,9
364,E05001309,10
365,E05001317,3
366,E05001319,12
367,E05001320,18
368,E05001321,11
369,E05001322,8
370,E05001324,13
371,E05001325,14
372,E05001326,3
373,E05001327,5
374,E05001328,10
375,E05001330,10
376,E05001332,5
377,E05001336,1
378,E05001339,2
379,E05001340,10
380,E05001341,28
381,E05001342,60
382,E05001343,41
383,E05001348,12
384,E05001349,43
385,E05001350,5
386,E05001352,4
387,E05001353,25
388,E05001354,64
389,E05001355,35
390,E05001356,21
391,E05001357,14
392,E05001360,17
393,E05001361,3
394,E05001362,36
395,E05001363,25
396,E05001366,33
397,E05001368,9
398,E05001369,32
399,E05001370,10
400,E05001372,10
401,E05001385,19
402,E05001390,21
403,E05001391,30
404,E05001392,15
405,E05001393,29
406,E05001398,24
407,E05001399,41
408,E05001400,21
409,E05001403,22
410,E05001408,25
411,E05001409,46
412,E05001411,76
413,E05001412,56
414,E05001413,1
415,E05001414,24
416,E05001415,18
417,E05001416,12
418,E05001418,31
419,E05001420,24
420,E05001421,13
421,E05001422,21
422,E05001423,28
423,E05001425,44
424,E05001426,59
425,E05001428,57
426,E05001430,14
427,E05001431,17
428,E05001432,1
429,E05001433,18
430,E05001434,24
431,E05001435,20
432,E05001436,26
433,E05001437,42
434,E05001438,19
435,E05001439,26
436,E05001441,25
437,E05001442,32
438,E05001443,64
439,E05001445,7
440,E05001446,3
441,E05001447,7
442,E05001452,6
443,E05001465,3
444,E05001466,5
445,E05001467,2
446,E05001468,9
447,E05001469,5
448,E05001470,2
449,E05001471,9
450,E05001472,4
451,E05001473,12
452,E05001474,3
453,E05001475,4
454,E05001476,3
455,E05001477,6
456,E05001478,6
457,E05001479,6
458,E05001480,22
459,E05001481,4
460,E05001505,8
461,E05001506,7
462,E05001507,7
463,E05001510,10
464,E05001511,15
465,E05001512,7
466,E05001513,7
467,E05001514,9
468,E05001515,2
469,E05001516,4
470,E05001519,17
471,E05001520,17
472,E05001521,10
473,E05001524,8
474,E05001525,10
475,E05001526,7
476,E05001527,4
477,E05001528,2
478,E05001529,7
479,E05001530,2
480,E05001531,8
481,E05001532,5
482,E05001533,22
483,E05001534,9
484,E05001535,14
485,E05001536,2
486,E05001537,8
487,E05001538,10
488,E05001539,10
489,E05001540,7
490,E05001541,8
491,E05001542,5
492,E05001543,8
493,E05001544,3
494,E05001545,12
495,E05001546,12
496,E05001547,3
497,E05001548,1
498,E05001549,19
499,E05001550,2
500,E05001551,7
501,E05001552,24
502,E05001576,2
503,E05001590,1
504,E05001610,30
505,E05001675,2
506,E05001687,55
507,E05001688,15
508,E05001689,16
509,E05001690,18
510,E05001691,22
511,E05001692,16
512,E05001693,49
513,E05001694,37
514,E05001695,51
515,E05001696,9
516,E05001697,14
517,E05001698,18
518,E05001699,16
519,E05001700,48
520,E05001701,47
521,E05001702,29
522,E05001703,39
523,E05001704,48
524,E05001705,30
525,E05001706,32
526,E05001707,63
527,E05001708,49
528,E05001709,19
529,E05001710,11
530,E05001711,22
531,E05001712,57
532,E05001713,13
533,E05001714,7
534,E05001715,4
535,E05001716,10
536,E05001717,9
537,E05001718,23
538,E05001719,9
539,E05001720,24
540,E05001721,16
541,E05001722,6
542,E05001723,10
543,E05001724,12
544,E05001725,4
545,E05001726,19
546,E05001727,10
547,E05001728,7
548,E05001730,23
549,E05001731,2
550,E05001732,17
551,E05001733,13
552,E05001734,40
553,E05001735,7
554,E05001736,10
555,E05001737,3
556,E05001738,27
557,E05001739,6
558,E05001740,25
559,E05001741,10
560,E05001742,9
561,E05001743,31
562,E05001744,10
563,E05001745,15
564,E05001746,18
565,E05001747,25
566,E05001748,15
567,E05001749,29
568,E05001750,18
569,E05001751,10
570,E05001752,25
571,E05001753,29
572,E05001754,15
573,E05001755,26
574,E05001756,11
575,E05001757,29
576,E05001758,18
577,E05001759,40
578,E05001760,24
579,E05001761,6
580,E05001762,49
581,E05001763,32
582,E05001764,17
583,E05001765,19
584,E05001766,26
585,E05001767,14
586,E05001768,30
587,E05001769,15
588,E05001770,30
589,E05001771,18
590,E05001772,10
591,E05001773,11
592,E05001774,16
593,E05001775,24
594,E05001776,10
595,E05001777,32
596,E05001778,11
597,E05001780,20
598,E05001781,14
599,E05001782,7
600,E05001783,11
601,E05001806,13
602,E05001807,6
603,E05001808,6
604,E05001809,8
605,E05001810,5
606,E05001811,5
607,E05001812,13
608,E05001813,6
609,E05001814,19
610,E05001815,18
611,E05001816,5
612,E05001817,15
613,E05001818,8
614,E05001820,24
615,E05001821,5
616,E05001831,15
617,E05001832,13
618,E05001859,36
619,E05001860,4
620,E05001865,3
621,E05001869,3
622,E05001885,11
623,E05001891,13
624,E05001903,3
625,E05001904,11
626,E05001905,6
627,E05001906,6
628,E05001940,18
629,E05001941,17
630,E05001942,16
631,E05001944,6
632,E05001945,7
633,E05001946,16
634,E05001947,13
635,E05001948,9
636,E05001953,17
637,E05001959,10
638,E05001961,15
639,E05001963,16
640,E05001973,20
641,E05001976,16
642,E05001984,17
643,E05001986,35
644,E05001987,11
645,E05001988,26
646,E05001989,7
647,E05001991,13
648,E05001992,23
649,E05001993,9
650,E05001994,1
651,E05001995,1
652,E05001998,9
653,E05001999,1
654,E05002000,17
655,E05002002,12
656,E05002004,2
657,E05002005,15
658,E05002009,27
659,E05002010,4
660,E05002011,7
661,E05002012,9
662,E05002013,3
663,E05002014,15
664,E05002015,8
665,E05002016,2
666,E05002017,20
667,E05002018,5
668,E05002019,22
669,E05002022,17
670,E05002023,25
671,E05002024,6
672,E05002025,9
673,E05002026,11
674,E05002027,8
675,E05002028,4
676,E05002029,8
677,E05002030,5
678,E05002031,14
679,E05002034,11
680,E05002036,9
681,E05002037,13
682,E05002038,15
683,E05002040,24
684,E05002042,34
685,E05002043,22
686,E05002044,14
687,E05002045,34
688,E05002046,8
689,E05002047,7
690,E05002048,11
691,E05002049,20
692,E05002050,13
693,E05002051,11
694,E05002052,1
695,E05002053,32
696,E05002054,15
697,E05002055,9
698,E05002056,22
699,E05002057,13
700,E05002058,11
701,E05002059,16
702,E05002060,16
703,E05002061,12
704,E05002062,12
705,E05002063,8
706,E05002064,15
707,E05002065,9
708,E05002066,14
709,E05002067,26
710,E05002068,12
711,E05002069,13
712,E05002070,20
713,E05002071,23
714,E05002072,21
715,E05002073,8
716,E05002074,16
717,E05002075,23
718,E05002076,16
719,E05002077,19
720,E05002098,1
721,E05002118,9
722,E05002119,9
723,E05002123,8
724,E05002127,14
725,E05002131,18
726,E05002132,9
727,E05002133,10
728,E05002134,21
729,E05002135,22
730,E05002136,9
731,E05002137,14
732,E05002138,13
733,E05002139,9
734,E05002140,6
735,E05002141,27
736,E05002142,13
737,E05002143,11
738,E05002144,28
739,E05002145,23
740,E05002146,38
741,E05002147,14
742,E05002148,7
743,E05002155,13
744,E05002157,4
745,E05002160,1
746,E05002229,9
747,E05002230,16
748,E05002231,18
749,E05002232,15
750,E05002233,9
751,E05002234,9
752,E05002235,15
753,E05002236,9
754,E05002237,12
755,E05002238,10
756,E05002239,13
757,E05002240,22
758,E05002241,9
